Question number,Answer,Question,Option A,Option B,Option C,Figures Number ,Explanation,Study Unit
8022,B,When must you make your UAS available to the FAA for inspection and testing?,Prior to having your UAS registered,Upon request of the FAA,The FAA does not need to inspect small comercially produced UAS.,,"You must make available to the FAA, upon request, the sUAS for inspection or testing. 14 CFR 107.7",0
8023,A,A professional wildlife photographer operates an sUAS from a moving truck to capture aerial images of migrating birds in remote wetlands. The driver of the truck does not serve any crewmember role in the operation. Is this compliant with Part 107?,Compliant with part 107 because it is not transporting another person's property for compensation.,Compliant because it qualifies for a part 107 waiver,Not compliant with part 107.,,,0
8024,B,"Power company employees use an sUAS to inspect a long stretch of high voltage powerlines. Due to muddy conditions, their vehicle must stay beside the road and the crew uses binoculars to maintain visual line of sight with the aircraft.",Compliant with part 107 in all cases,Not compliant with part 107 unless only used briefly,Not compliant with part 107.,,"Visual line of sight must be accomplished and maintained by unaided vision, except vision that is corrected by the use of eyeglasses (spectacles) or contact lenses. Vision aids, such as binoculars, may be used only momentarily to enhance situational awareness. For example, the Remote PIC, person manipulating the controls, or visual observer may use vision aids briefly to avoid flying over persons or to avoid conflicting with other aircraft.",0
8025,C,Which of the following individuals may process an application for a part 107 remote pilot certificate with an sUAS rating? ,Commercial Balloon pilot,Remote Pilot in Command,Designated Pilot Examiner,,"An FAA-authorized individual may be a Certified Flight Instructor (CFI), Airman Certification Representative (ACR) for a pilot school, a person designated by a Flight Standards District Office (FSDO), or Designated Pilot Examiner (DPE)",0
8026,A,When must the remote PIC inspect the UAS to determine that it is safe for flight?,Before every flight,After a hard landing or incident,Onlt when the UAS appears to be operating abnormally,,The remote PIC must perform checks of the UA prior to each flight to determine if the sUAS is in a condition for safe operation.,0
8027,A,What is the maximum groundspeed of a UAS to be operated under part 107,100 MPH,100 Knots,50 Knots,,Maximum groundspeed of a small UAS is limited to 100 mph (87 knots).,0
8028,B,"For the purposes of small UAS flights, what time constitutes twilight?",One hour after sunset and one hour before sunrise,Thirty minutes after sunset and thirty minutes before sunrise,The time between sunset and civil evening twilight and the time between morning civil twilight and sunrise,,"Twilight for UAS purposes is 30 minutes before official sunrise to 30 minutes after official sunset, local time.",0
8029,C,What equipment is required to operate a small UAS in twilight?,A transponder,An onboard radio,Anti-collision lighting,,"You can fly during daylight or in twilight (30 minutes before official sunrise to 30 minutes after official sunset, local time) with appropriate anti-collision lighting.æ",0
8030,B,What is the minimum weather visibility requires to operate a small UAS?,1 mile,3 miles,5 miles,,Minimum weather visibility is three miles from your control station.,0
8031,C,Which of the following UAS flights is illegal?,Flying over a large group of people in a covered stadium,Flying directly over people participating in the UAS operation,Flying over a highway,,"You cannot fly a small UAS over anyone who is not directly participating in the operation, not under a covered structure, or not inside a covered stationary vehicle.æ",0
8032,C,Which of the folllowing operations must be reported to the FAA?,Property damage of $200,"Minor, non-serious injury",Loss of consciousness,,"A remote PIC must report to the FAA within 10 days of any operation that results in at least serious injury, loss of consciousness, or property damage of at least $500.",0
8033,A,How many days does a remote PIC have to notify the FAA of a reportable incident?,10 days,14 days,30 days.,,"A remote PIC must report to the FAA within 10 days of any operation that results in at least serious injury, loss of consciousness, or property damage of at least $500.",0
8034,A,A small UAS must be operated close enough to the remote PIC that,the remote PIC can see the UAS unaided by binoculars or other systems,the UAS remains visual line of sight with the aid of binoculars,the UAS remains within radio communication range,,At all times the small unmanned aircraft must remain close enough to the remote pilot in command and the person manipulating the flight controls of the small UAS for those people to be capable of seeing the aircraft with vision unaided by any device other than corrective lenses.,0
8035,C,Which crew members must remain in visual line of sight of the small UAS?,"The remote PIC, person manipulating the flight controls, or the visual observer",The remote PIC only,The remote PIC and the person manipulating the flight controls,,"The UAS must remain within visual line of sight of the remote PIC and the person manipulating the flight controls of the small UAS. Alternatively, the UAS must remain within VLOS of the visual observer. However, even if you use a visual observer, you must still keep your unmanned aircraft close enough to be able to see it if something unexpected happens.",0
8036,A,Which of the following has the right of way over the others?,Any manned aircraft,A small UAS operating normally,A small UAS in an emergency situation,,A small UAS must yield right of way to other aircraft.,0
8037,A,How many small UAS operations may one person operate at one time?,Only one at a time,"Only one, unless each operation has a dedicated visual observer","Only one, unless each operation has a dedcated visual obeserver and person manipulating the flight controls.",,No person may act as a remote pilot in command or VO for more than one unmanned aircraft operation at one time.,0
8038,B,Which of the following operations is legal?,Operating a small UAS from a moving aircraft,Operating a small UAS from a moving vehicle over sparsely populated areas,Operating a small UAS from a moving vehicle over densely populated areas,,"Under part 107, operations are not allowed from a moving aircraft, nor are they allowed over densely populated areas. Furthermore, the remote PIC must not be the person operating the moving vehicle.",0
8039,B,How old must a person be to qualify for a remote pilot certificate?,14 years old,16 years old,18 years old,,"To qualify for a remote PIC, a person must be at least 16 years old and must be vetted by the TSA.",0
8040,C,Are foreign-certified pilots allowed to conduct UAS operations in the United States?,"Yes, as long as the certification comes from an appropriate government body","Yes, as long as the person takes training on U.S. specific laws","No, all UAS operations in the U.S. must have an FAA certified remote PIC overseeing the operation",,"Until international standards are developed, foreign-certificated UAS pilots will be required to obtain an FAA-issued remote pilot certificate with a small UAS rating.",0
8041,A,Transportation of property for compensation or hire is allowed under part 107 provided that,The flight occurs wholly within the bounds of a State and does not involve transport between (1) Hawaii and another place in Hawaii through airspace outside Hawaii; (2) the District of Columbia and another place in the District of Columbia; or (3) a territory or possession of the United States and another place in the same territory or possession.,The flight does not cross more than one state or territory boundary,The small UAS operator receives a permit to cary hazardous materials,,The flight must occur solely within one state and carriage of hazardous materials is not allowed.,0
8042,A,"Under part 107, a small UAS must be ",registered with the FAA,certified with the FAA as airworthy,manufactured by an FAA-certified UAS manufacturer,,"The FAA does not require small UAS to comply with current agency airworthiness standards or obtain aircraft certification, but it must be registered.",0
8043,C,A complete preflght inspection may NOT need to include,Checking the communications link between the UAS and the control station,"Checking the safety-pertinent systems, including the command and control systems, are functioning properly",Any attached cameras or sensors are operating normally.,,"While it is advisable to ensure that the cameras or sensors are operating normally before flight, they will not affect the safety of the UAS operation and therefore are not required to be part of a preflight inspection.",0
8044,A,"When can a small unmanned aircraft (sUAS) fly over 10,000 MSL?","When flying 400' AGL or below (or if higher than 400' AGL, must remain 400' of a structure)",When flying 500' AGL or above,Out of Controlled airspace,,"According to Part 107 regulations, Maximum flight altitude of 400 feet above ground level (AGL) or, if higher than 400 feet AGL, remain within 400 feet of a structure. ",0
8045,A,"In the event of an in-flight emergency, what action is the RPIC permitted to take?",Deviate from any Part 107 regulation to respond to the emergency,Activate the UAS's return-to-home automation failsafe mode only,Conduct any action to meet the emergency without regard to minmial injury or damage.,,"14 CFR 91.3 states that “In an in-flight emergency requiring immediate action, the RPIC may deviate from any rule of this part to the extent required to meet that emergency.” The RPIC should only deviate from these rules in order to minimize damage and injury in the emergency situation, so C is not correct. A “return to home automation mode only” is mainly used by RPICs if they need to take control from the person manipulating the sUAS and does not need to be used in an emergency because it is permitted at all times. ",0
8046,C,You are a qualified RPIC and want to share the controls with a friend who is also a qualified RPIC. Under what conditions are you allowed to transfer control?,When one of you can maintain Visual line of sight at all times without loss of control,When both of you can maintain VLOS while simultaneously acting as RPIC,When both of you can maintain VLOS at all times without loss of control,,"sUAS’s can switch hands of qualified RPIC’s during a flight only if all pilots can maintain a VLOS with the sUAS, they are all aware of the safety factors involved with the flight, and there is no loss of control at any time. It is also recommended that a “positive change of controls” takes place, in which there is a verbal communication where the pilots explicitly state who is in control at what time so the handoff is clear and established among all parties. ",0
8047,B,Under what cicumstances would an accident report need to be made to the FAA?,sUAS causes $600 of damage to a fence that has a fair market price of $200,sUAS cause $600 of damage to a fence that has a fair market price of $700,Your sUAS is completely destroyed ($1500),,"14 CFR Part 107.9 states that if the fair market price is below $500 there is no need to report the accident to the FAA, as well as if the only property damaged is the sUAS, therefore the only scenario in which the accident would need to be reported is B since the fair market price of the fence is $700 > $500. ",0
